Date,Action,Symbol,Description,Quantity,Price,Fees & Comm,Amount,Approx_VIX_Level,Comments
05/13/2025,Sell to Close,VIX 07/16/2025 45.00 P,PUT CBOE VOLATILITY IDX $45 EXP 07/16/25,2,$25.65,$2.16,$5127.84,17.96,
05/13/2025,Sell to Close,VIX 07/16/2025 36.00 P,PUT CBOE VOLATILITY IDX $36 EXP 07/16/25,1,$17.00,$1.08,$1698.92,17.79,
05/13/2025,Sell to Close,VIX 07/16/2025 29.00 P,PUT CBOE VOLATILITY IDX $29 EXP 07/16/25,3,$10.40,$3.24,$3116.76,17.72,
05/13/2025,Sell to Close,VIX 07/16/2025 36.00 P,PUT CBOE VOLATILITY IDX $36 EXP 07/16/25,2,$16.90,$2.16,$3377.84,17.72,
05/13/2025,Sell to Close,VIX 07/16/2025 29.00 P,PUT CBOE VOLATILITY IDX $29 EXP 07/16/25,2,$10.30,$2.16,$2057.84,17.68,
05/12/2025,Sell to Close,VIX 06/18/2025 45.00 P,PUT CBOE VOLATILITY IDX $45 EXP 06/18/25,2,$25.00,$2.16,$4997.84,19.24,"Market up on positive news of lowering tariffs with China; VIX down 15%, VVIX down 10%"
05/12/2025,Sell to Close,VIX 06/18/2025 27.00 P,PUT CBOE VOLATILITY IDX $27 EXP 06/18/25,6,$7.55,$6.49,$4523.51,19.05,"Market up on positive news of lowering tariffs with China; VIX down 15%, VVIX down 10%"
05/12/2025,Sell to Close,VIX 06/18/2025 36.00 P,PUT CBOE VOLATILITY IDX $36 EXP 06/18/25,3,$16.00,$3.24,$4796.76,19.14,"Market up on positive news of lowering tariffs with China; VIX down 15%, VVIX down 10%"
05/12/2025,Sell to Close,VIX 06/18/2025 27.00 P,PUT CBOE VOLATILITY IDX $27 EXP 06/18/25,6,$7.40,$6.49,$4433.51,19.47,"Market up on positive news of lowering tariffs with China; VIX down 15%, VVIX down 10%"
05/07/2025,Sell to Close,VIX 05/21/2025 26.00 P,PUT CBOE VOLATILITY IDX $26 EXP 05/21/25,4,$3.55,$4.32,$1415.68,24.49,Closed position ahead of Fed's (Powell's) comments
05/07/2025,Sell to Close,VIX 05/21/2025 37.00 P,PUT CBOE VOLATILITY IDX $37 EXP 05/21/25,3,$13.75,$3.24,$4121.76,24.51,Closed position ahead of Fed's (Powell's) comments
05/02/2025,Sell to Close,VIX 05/21/2025 26.00 P,PUT CBOE VOLATILITY IDX $26 EXP 05/21/25,4,$4.35,$4.32,$1735.68,22.73,Sold half of remaining position due to vol spike concerns and theta
04/24/2025,Sell to Close,VIX 05/21/2025 26.00 P,PUT CBOE VOLATILITY IDX $26 EXP 05/21/25,7,$3.50,$7.57,$2442.43,27.37,Sold half of position due to vol spike concerns and theta
04/08/2025,Buy to Open,VIX 06/18/2025 27.00 P,PUT CBOE VOLATILITY IDX $27 EXP 06/18/25,4,$4.55,$4.32,-$1824.32,55.44,Averaged down on existing position
04/07/2025,Buy to Open,VIX 08/20/2025 45.00 P,PUT CBOE VOLATILITY IDX $45 EXP 08/20/25,2,$21.75,$2.16,-$4352.16,49.07,
04/07/2025,Buy to Open,VIX 07/16/2025 45.00 P,PUT CBOE VOLATILITY IDX $45 EXP 07/16/25,2,$21.55,$2.16,-$4312.16,46.17,
04/07/2025,Buy to Open,VIX 06/18/2025 45.00 P,PUT CBOE VOLATILITY IDX $45 EXP 06/18/25,2,$18.85,$2.16,-$3772.16,53.65,
04/04/2025,Buy to Open,VIX 05/21/2025 26.00 P,PUT CBOE VOLATILITY IDX $26 EXP 05/21/25,10,$4.10,$10.81,-$4110.81,38.88,Averaged down on existing position
04/04/2025,Buy to Open,VIX 07/16/2025 36.00 P,PUT CBOE VOLATILITY IDX $36 EXP 07/16/25,3,$13.80,$3.24,-$4143.24,36.955,
04/04/2025,Buy to Open,VIX 05/21/2025 37.00 P,PUT CBOE VOLATILITY IDX $37 EXP 05/21/25,3,$13.20,$3.24,-$3963.24,36.46,
04/04/2025,Buy to Open,VIX 06/18/2025 36.00 P,PUT CBOE VOLATILITY IDX $36 EXP 06/18/25,3,$13.40,$3.24,-$4023.24,36.61,
04/03/2025,Buy to Open,VIX 07/16/2025 29.00 P,PUT CBOE VOLATILITY IDX $29 EXP 07/16/25,5,$8.55,$5.40,-$4280.40,29.03,
04/03/2025,Buy to Open,VIX 06/18/2025 27.00 P,PUT CBOE VOLATILITY IDX $27 EXP 06/18/25,8,$7.05,$8.65,-$5648.65,27.625,
03/24/2025,Sell to Close,VIX 04/16/2025 25.00 P,PUT CBOE VOLATILITY IDX $25 EXP 04/16/25,5,$7.00,$5.40,$3494.60,18.01,
03/10/2025,Buy to Open,VIX 05/21/2025 26.00 P,PUT CBOE VOLATILITY IDX $26 EXP 05/21/25,5,$7.10,$5.40,-$3555.40,27.535,Missed opportunity to close position for 20% profit before vol spike in early April 2025
03/04/2025,Buy to Open,VIX 04/16/2025 25.00 P,PUT CBOE VOLATILITY IDX $25 EXP 04/16/25,5,$5.65,$5.40,-$2830.40,25.745,
11/27/2024,Sell to Close,VIX 12/18/2024 30.00 P,PUT CBOE VOLATILITY IDX $30 EXP 12/18/24,1,$14.95,$1.08,$1493.92,14.045,
11/04/2024,Sell to Close,VIX 11/20/2024 25.00 P,PUT CBOE VOLATILITY IDX $25 EXP 11/20/24,2,$6.10,$2.16,$1217.84,22.43,
09/18/2024,Sell to Close,VIX 10/16/2024 40.00 P,PUT CBOE VOLATILITY IDX $40 EXP 10/16/24,1,$21.54,$1.08,$2152.92,18.85,
08/21/2024,Sell to Close,VIX 09/18/2024 34.00 P,PUT CBOE VOLATILITY IDX $34 EXP 09/18/24,1,$17.95,$1.08,$1793.92,16.495,
08/07/2024,Buy to Open,VIX 11/20/2024 25.00 P,PUT CBOE VOLATILITY IDX $25 EXP 11/20/24,2,$5.90,$2.16,-$1182.16,27.11,
08/06/2024,Buy to Open,VIX 12/18/2024 30.00 P,PUT CBOE VOLATILITY IDX $30 EXP 12/18/24,1,$10.25,$1.08,-$1026.08,32.275,
08/05/2024,Buy to Open,VIX 09/18/2024 34.00 P,PUT CBOE VOLATILITY IDX $34 EXP 09/18/24,1,$10.95,$1.08,-$1096.08,34.33,
08/05/2024,Buy to Open,VIX 10/16/2024 40.00 P,PUT CBOE VOLATILITY IDX $40 EXP 10/16/24,1,$16.35,$1.08,-$1636.08,42.71,
